City,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Angra do Heroismo,EUROPE,Pyramid,1.038162234,0.969015559,1.421565508
Angren,ASIA,Hourglass,1.18077016,0,1.24269136
Ankang,ASIA,Hourglass,4.855493508,0,0.33971201
Ankara,ASIA,Pyramid,1.113727262,0.258793567,1.88500761
Anlu,ASIA,Hourglass,7.440931834,0,0.154838179
Ann Arbor,NORTH AMERICA,Pyramid,4.356601834,0.409139259,0.909011178
Anna Regina,SOUTH AMERICA,Pyramid,1.440968402,0.980023974,0.671792487
Annaba,AFRICA,Pyramid,1.912800529,0.34711133,1.777524919
Annapolis,NORTH AMERICA,Pyramid,2.65221506,0.99925899,1.023247863
Annecy,EUROPE,Pyramid,1.855296461,0.991071736,1.345308843
Anqing,ASIA,Pyramid,1.494016714,0.747758821,1.923111445
Ansan,ASIA,Pyramid,1.576286846,0.386005156,3.130392321
Anshan,ASIA,Hourglass,2.606711088,3.52E-06,1.594303317
Anshun,ASIA,Hourglass,5.457723819,0,0.391016635
Antalaha,AFRICA,Diamond,0.440114614,0.015465283,1.535383854
Antalya,ASIA,Pyramid,1.202294292,0.992153232,2.012174007
Antananarivo,AFRICA,Hourglass,2.551174253,0,0.729773382
Antigonish,NORTH AMERICA,Pyramid,2.254914851,0.991884737,0.195118104
Antofagasta,SOUTH AMERICA,Hourglass,1.168439307,8.25E-06,1.603060005
Antsirabe,AFRICA,Hourglass,5.465303374,0,0.149113108
Antsiranana,AFRICA,Hourglass,0.508140924,0,1.706788806
Antsohihy,AFRICA,Diamond,0.159420315,0.007108425,1.933327826
Antwerpen,EUROPE,Pyramid,2.419248825,0.0015624,1.212243059
Anuradhapura,ASIA,Pyramid,3.480823381,0.30885288,0.239404852
Anxi,ASIA,Pyramid,1.851760121,0.990399671,0.876956361
Anyang,ASIA,Hourglass,3.737566306,0,0.698937382
Anzhero Sudzhensk,ASIA,Pyramid,3.864605085,0.987370636,0.600606352
Aomori,ASIA,Hourglass,1.127036686,0,2.113008823
Apalachicola,NORTH AMERICA,Pyramid,0.548272961,0.037109677,1.191184389
Apatity,EUROPE,Pyramid,3.673825918,0.992298508,0.675625764
